,Refrigerator,Kitchen_outlet1,Kitchen_outlet2,Microwave,Lighting
0,84,443,1055,1871,35
1,89,441,1055,1856,34
2,94,440,1055,1840,38
3,98,438,1055,1853,38
4,103,436,1055,1800,36
5,108,435,1054,1901,37
6,113,433,1054,1836,35
7,117,431,1054,1770,35
8,122,430,1054,1705,35
9,127,428,1053,1639,36
10,132,426,1053,2526,36
11,136,424,1060,2344,36
12,141,423,1060,1884,36
13,146,421,1057,1870,37
14,151,419,1057,1856,37
15,155,418,1057,1928,37
16,160,416,1057,1909,38
17,249,414,1053,1944,32
18,248,413,1052,1918,39
19,247,411,1044,1893,38
20,246,590,1059,1867,35
21,244,407,1043,2174,35
22,243,,1046,1990,36
23,242,,1053,2942,36
24,241,,1048,2396,36
25,240,,1043,1849,36
26,239,,1040,1883,37
27,237,,1043,1902,37
28,236,,1048,1920,36
29,235,,1049,1912,36
30,234,,1048,1903,36
31,233,,1049,,36
32,232,,1046,,36
33,230,,1048,,37
34,229,,1041,,37
35,228,,1004,,37
36,227,,896,,37
37,226,,1050,,38
38,225,,1045,,38
39,224,,1045,,38
40,222,,1044,,32
41,221,,1042,,33
42,220,,1042,,35
43,219,,1042,,35
44,218,,1110,,39
45,217,,1110,,35
46,215,,1059,,35
47,214,,1059,,37
48,213,,1055,,35
49,212,,1055,,36
50,211,,1065,,36
51,210,,1065,,37
52,209,,1061,,37
53,207,,1061,,36
54,206,,1060,,36
55,205,,876,,36
56,204,,1046,,36
57,203,,1047,,36
58,202,,1052,,36
59,200,,1051,,36
60,199,,1049,,36
61,198,,1042,,36
62,197,,1043,,36
63,196,,1045,,36
64,195,,967,,37
65,193,,986,,37
66,192,,1007,,37
67,191,,1048,,37
68,190,,1047,,37
69,189,,1016,,37
70,188,,1024,,37
71,187,,1037,,37
72,185,,1039,,37
73,184,,1037,,37
74,183,,1036,,37
75,182,,1014,,37
76,181,,1050,,37
77,180,,1046,,37
78,178,,1011,,37
79,177,,1041,,37
80,176,,1004,,37
81,175,,1054,,37
82,174,,1054,,37
83,173,,940,,37
84,172,,894,,37
85,170,,849,,37
86,169,,803,,38
87,168,,757,,38
88,167,,1052,,38
89,166,,1047,,38
90,165,,1043,,38
91,163,,1038,,38
92,162,,1033,,38
93,161,,1028,,38
94,160,,1024,,38
95,159,,1019,,38
96,158,,1014,,38
97,156,,1054,,38
98,155,,1054,,38
99,154,,1051,,38
100,153,,1066,,38
101,187,,1044,,38
102,186,,1046,,38
103,185,,1050,,38
104,184,,1052,,38
105,183,,1049,,38
106,182,,1049,,38
107,180,,1048,,38
108,179,,1048,,39
109,178,,1043,,39
110,177,,1044,,39
111,176,,1043,,39
112,175,,1045,,39
113,174,,1040,,39
114,173,,1041,,39
115,172,,1044,,39
116,171,,1044,,39
117,169,,1043,,39
118,168,,1045,,39
119,167,,1046,,39
120,166,,1052,,39
121,165,,1051,,39
122,164,,1050,,39
123,163,,1053,,39
124,162,,1053,,39
125,161,,1060,,39
126,160,,1061,,39
127,158,,1055,,39
128,157,,1054,,39
129,156,,1057,,39
130,155,,1057,,40
131,154,,1055,,40
132,189,,1054,,40
133,188,,1063,,40
134,186,,1063,,40
135,185,,1056,,40
136,184,,1056,,40
137,183,,1053,,40
138,181,,876,,40
139,180,,1043,,40
140,179,,1045,,40
141,177,,1042,,37
142,176,,1038,,36
143,175,,1034,,35
144,173,,1045,,37
145,172,,1048,,37
146,171,,1045,,39
147,170,,1047,,35
148,168,,1050,,35
149,167,,1046,,41
150,166,,1042,,36
151,164,,1055,,37
152,163,,1056,,37
153,162,,1049,,36
154,160,,1048,,57
155,159,,1047,,33
156,158,,1052,,37
157,157,,1052,,37
158,155,,1050,,36
159,154,,1051,,41
160,187,,1038,,36
161,186,,1038,,33
162,184,,1039,,33
163,183,,1038,,40
164,182,,1041,,36
165,180,,1041,,32
166,179,,1045,,32
167,178,,1045,,36
168,176,,1045,,37
169,175,,1045,,37
170,174,,1043,,31
171,172,,1042,,32
172,171,,1038,,34
173,170,,947,,35
174,169,,856,,36
175,167,,1038,,38
176,166,,1040,,39
177,165,,1011,,36
178,163,,1043,,36
179,162,,1045,,52
180,161,,1044,,48
181,159,,1051,,44
182,158,,1031,,40
183,157,,1010,,36
184,155,,1016,,33
185,154,,1052,,35
186,184,,1052,,38
187,183,,1016,,40
188,181,,1047,,
189,180,,1012,,
190,179,,1043,,
191,177,,1043,,
192,176,,1044,,
193,174,,1044,,
194,173,,1047,,
195,172,,1047,,
196,170,,1046,,
197,169,,1045,,
198,168,,1045,,
199,166,,1045,,
200,165,,1046,,
201,164,,1046,,
202,162,,1041,,
203,161,,1038,,
204,160,,1035,,
205,158,,1036,,
